β,niter,χ,label,time
1,5,20,itensor,0.786712454
1,5,20,torch,0.560455609
1,5,20,julia,0.591966602
1,5,20,itensor,1.262617116
1,5,20,torch,0.642564355
1,5,20,julia,0.578593775
1,5,20,itensor,1.098311098
1,5,20,torch,0.520038374
1,5,20,julia,0.466061185
1,5,20,itensor,0.855318197
1,5,20,torch,0.523848957
1,5,20,julia,0.46646404
1,10,20,itensor,6.870102578
1,10,20,torch,0.75234645
1,10,20,julia,1.167462377
1,10,20,itensor,6.456162542
1,10,20,torch,0.775189163
1,10,20,julia,1.088765959
1,10,20,itensor,6.552479002
1,10,20,torch,0.751049321
1,10,20,julia,1.101093324
1,10,20,itensor,6.557111772
1,10,20,torch,0.756261872
1,10,20,julia,1.180703606
1,15,20,itensor,12.883143116
1,15,20,torch,1.008151508
1,15,20,julia,1.717679622
1,15,20,itensor,13.029573517
1,15,20,torch,1.016960201
1,15,20,julia,2.005597653
1,15,20,itensor,13.781283776
1,15,20,torch,1.002869314
1,15,20,julia,1.820448176
1,15,20,itensor,13.683060718
1,15,20,torch,1.043860716
1,15,20,julia,2.15409516
1,20,20,itensor,19.486144738
1,20,20,torch,1.266840437
1,20,20,julia,2.577073176
1,20,20,itensor,22.73783505
1,20,20,torch,1.243361628
1,20,20,julia,2.615449442
1,20,20,itensor,19.89247976
1,20,20,torch,1.250387956
1,20,20,julia,2.659935264
1,20,20,itensor,20.051218268
1,20,20,torch,1.274874893
1,20,20,julia,2.794715112
1,25,20,itensor,26.377700649
1,25,20,torch,1.510841994
1,25,20,julia,3.426559215
1,25,20,itensor,26.571673998
1,25,20,torch,1.514916681
1,25,20,julia,3.024599449
1,25,20,itensor,26.248068512
1,25,20,torch,1.523129637
1,25,20,julia,3.259443357
1,25,20,itensor,26.896883096
1,25,20,torch,1.511184326
1,25,20,julia,3.125293383
1,30,20,itensor,33.012127204
1,30,20,torch,1.760812032
1,30,20,julia,3.781241954
1,30,20,itensor,33.541083613
1,30,20,torch,1.720118127
1,30,20,julia,4.260870215
1,30,20,itensor,33.566954436
1,30,20,torch,1.757481845
1,30,20,julia,4.255608687
1,30,20,itensor,33.594294173
1,30,20,torch,1.766648166
1,30,20,julia,3.8109557
1,35,20,itensor,40.324684973
1,35,20,torch,1.977096213
1,35,20,julia,4.575378495
1,35,20,itensor,40.155936147
1,35,20,torch,2.02084385
1,35,20,julia,4.395223542
1,35,20,itensor,40.395804881
1,35,20,torch,2.019565391
1,35,20,julia,4.646758284
1,35,20,itensor,40.557010788
1,35,20,torch,2.159649308
1,35,20,julia,5.286487318
1,40,20,itensor,46.776259696
1,40,20,torch,2.24673075
1,40,20,julia,4.938101539
1,40,20,itensor,47.110492304
1,40,20,torch,2.26335518
1,40,20,julia,5.355641236
1,40,20,itensor,47.613673814
1,40,20,torch,2.262189376
1,40,20,julia,5.43301046
1,40,20,itensor,46.909238041
1,40,20,torch,2.247985963
1,40,20,julia,5.265103547
1,45,20,itensor,53.784872179
1,45,20,torch,2.502494928
1,45,20,julia,6.225064095
1,45,20,itensor,54.743567598
1,45,20,torch,2.54778247
1,45,20,julia,6.075078645
1,45,20,itensor,54.245459983
1,45,20,torch,2.508287163
1,45,20,julia,6.191840896
1,45,20,itensor,53.995547857
1,45,20,torch,2.502560842
1,45,20,julia,6.173863275
1,50,20,itensor,60.87645807
1,50,20,torch,2.75041049
1,50,20,julia,6.744823264
1,50,20,itensor,60.838387777
1,50,20,torch,2.742029945
1,50,20,julia,7.140366209
1,50,20,itensor,61.437923729
1,50,20,torch,2.781623846
1,50,20,julia,6.658259422
1,50,20,itensor,60.452119261
1,50,20,torch,2.760174408
1,50,20,julia,7.052090973
1,55,20,itensor,67.171119511
1,55,20,torch,3.004139311
1,55,20,julia,8.14878496
1,55,20,itensor,67.911687011
1,55,20,torch,3.010222447
1,55,20,julia,7.461080434
1,55,20,itensor,67.448880982
1,55,20,torch,3.014288136
1,55,20,julia,7.397690852
1,55,20,itensor,68.837711443
1,55,20,torch,3.027014256
1,55,20,julia,7.06801625
1,60,20,itensor,70.58511158
1,60,20,torch,3.239433467
1,60,20,julia,7.842285463
1,60,20,itensor,71.283806665
1,60,20,torch,3.239571029
1,60,20,julia,7.872408458
1,60,20,itensor,70.544635441
1,60,20,torch,3.257271474
1,60,20,julia,8.231595649
1,60,20,itensor,69.934059241
1,60,20,torch,3.315993784
1,60,20,julia,8.382569901
1,20,10,itensor,1.446993645
1,20,10,torch,0.522842618
1,20,10,julia,0.207970584
1,20,10,itensor,0.793832349
1,20,10,torch,0.664386241
1,20,10,julia,0.247683047
1,20,10,itensor,1.229580849
1,20,10,torch,0.697138259
1,20,10,julia,0.16850736
1,20,10,itensor,0.947591485
1,20,10,torch,0.644609183
1,20,10,julia,0.235058526
1,20,10,itensor,1.127438952
1,20,10,torch,0.693611791
1,20,10,julia,0.354300767
1,20,15,itensor,9.091993482
1,20,15,torch,0.810158786
1,20,15,julia,1.504223382
1,20,15,itensor,7.342770436
1,20,15,torch,0.773454644
1,20,15,julia,1.02778149
1,20,15,itensor,8.203777195
1,20,15,torch,0.705355248
1,20,15,julia,1.010555193
1,20,15,itensor,8.653703873
1,20,15,torch,0.731910823
1,20,15,julia,0.860572725
1,20,15,itensor,13.36916028
1,20,15,torch,1.426702026
1,20,15,julia,1.864380838
1,20,20,itensor,35.589046001
1,20,20,torch,1.962922549
1,20,20,julia,4.401748069
1,20,20,itensor,28.412819695
1,20,20,torch,1.441042029
1,20,20,julia,3.980798038
1,20,20,itensor,35.168748115
1,20,20,torch,1.685420342
1,20,20,julia,4.105487756
1,20,20,itensor,30.112019558
1,20,20,torch,1.505142809
1,20,20,julia,3.170770639
1,20,20,itensor,24.013880964
1,20,20,torch,1.64802204
1,20,20,julia,4.237204561
1,20,25,itensor,109.229033905
1,20,25,torch,6.488983636
1,20,25,julia,14.038080062
1,20,25,itensor,72.968244311
1,20,25,torch,3.854459015
1,20,25,julia,12.779455277
1,20,25,itensor,73.859218959
1,20,25,torch,3.787366628
1,20,25,julia,12.624839254
1,20,25,itensor,73.857125968
1,20,25,torch,3.778516858
1,20,25,julia,12.124823892
1,20,25,itensor,74.277479859
1,20,25,torch,3.799466761
1,20,25,julia,12.143696
1,20,30,itensor,282.540178062
1,20,30,torch,13.488078032
1,20,30,julia,34.54016644
1,20,30,itensor,294.861366952
1,20,30,torch,16.147069588
1,20,30,julia,37.709144501
1,20,30,itensor,283.712620877
1,20,30,torch,13.16876614
1,20,30,julia,38.300772504
1,20,30,itensor,294.969099165
1,20,30,torch,13.013276281
1,20,30,julia,40.662513244
